ticker,company,segment_code,segment_label,metric_code,metric_label,unit,fiscal_year,fiscal_quarter,fiscal_period,as_of_date,value,missing,derived,restated,period_start,period_end,xbrl_tag,source_form,accn,filed,qoq_delta,qoq_pct,yoy_delta,yoy_pct
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2018,Q1,2018Q1,2026-07-21,94928000,False,False,False,2017-12-31,2018-03-31,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-19-000024,2019-05-07,-12307000,-11.48,-11568000,-10.86
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2018,Q2,2018Q2,2026-07-21,111586000,False,False,False,2018-04-01,2018-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-19-000062,2019-08-06,16658000,17.55,-10038000,-8.25
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2018,Q3,2018Q3,2026-07-21,111606000,False,False,False,2018-07-01,2018-09-29,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-19-000083,2019-11-05,20000,0.02,-7833000,-6.56
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2018,Q4,2018Q4,2026-07-21,116149000,False,True,False,,2018-12-29,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001039399-21-000009,2021-02-22,4543000,4.07,8914000,8.31
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2019,Q1,2019Q1,2026-07-21,108103000,False,False,False,2018-12-30,2019-03-30,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-20-000026,2020-05-07,-8046000,-6.93,13175000,13.88
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2019,Q2,2019Q2,2026-07-21,113637000,False,False,False,2019-03-31,2019-06-29,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-20-000073,2020-08-04,5534000,5.12,2051000,1.84
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2019,Q3,2019Q3,2026-07-21,116447000,False,False,False,2019-06-30,2019-09-28,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-20-000089,2020-11-03,2810000,2.47,4841000,4.34
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2019,Q4,2019Q4,2026-07-21,153176000,False,True,False,,2019-12-28,RevenueFromContractWithCustomerExcludingAssessedTax,10-K,0001039399-22-000014,2022-02-18,36729000,31.54,37027000,31.88
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2020,Q1,2020Q1,2026-07-21,134715000,False,False,False,2019-12-29,2020-03-28,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-21-000022,2021-05-04,-18461000,-12.05,26612000,24.62
FORM,"FormFactor, Inc.",probe_cards,Probe Cards,seg_revenue,Segment Revenue (GAAP),USD,2020,Q2,2020Q2,2026-07-21,133784000,False,False,False,2020-03-29,2020-06-27,RevenueFromContractWithCustomerExcludingAssessedTax,10-Q,0001039399-21-000064,2021-07-30,-931000,-0.69,20147000,17.73
